episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
162,-123.1300111538,26.2939872742,0.0400000000,79,79,99,0.8459263000,1.487261
163,-81.7845935875,26.5327339172,0.0400000000,74,74,94,0.8449957000,1.628722
164,-68.6964074680,26.1690311432,0.0400000000,56,56,68,0.8443225000,1.708853
165,-118.8593271253,26.4169464111,0.0400000000,54,54,73,0.8435998000,1.485840
166,-85.7742973490,26.2396888733,0.0400000000,95,95,128,0.8423326000,1.315695
167,-86.0412997599,26.2501106262,0.0400000000,80,80,107,0.8412733000,1.854084
168,-143.6351173700,26.3480987549,0.0400000000,57,57,73,0.8405506000,1.381531
169,-90.4612758212,26.8149394989,0.0400000000,95,95,123,0.8393329000,1.628735
170,-100.9528583558,26.3050670624,0.0400000000,73,73,90,0.8384419000,1.255750
171,-237.2640135392,26.7759475708,0.0400000000,96,96,119,0.8372638000,1.478187
172,-78.2729790392,26.7165546417,0.0400000000,55,55,66,0.8366104000,1.343799
173,-89.3901182368,26.9001960754,0.0400000000,52,52,64,0.8359768000,1.377220
174,-71.2352067288,26.7320594788,0.0500000000,60,60,82,0.8351650000,1.483567
175,-123.1591122273,26.7614822388,0.0500000000,86,86,107,0.8341057000,1.891692
176,-113.1621155750,26.9209384918,0.0500000000,101,101,125,0.8328682000,1.489870
177,-92.1177568245,26.5348358154,0.0500000000,67,67,91,0.8319673000,1.175172
178,-85.8964825746,26.2888336182,0.0500000000,54,54,76,0.8312149000,1.958608
179,-89.9714650286,26.5268096924,0.0500000000,105,105,125,0.8299774000,1.342431
180,-349.1708384435,26.7015953064,0.0500000000,86,86,110,0.8288884000,1.586825
181,-85.2022178575,26.7123394012,0.0500000000,60,60,79,0.8281063000,1.707335
182,-85.1799470835,26.3929595947,0.0500000000,103,103,130,0.8268193000,1.544973
183,-61.0332034361,26.7649383545,0.0500000000,84,84,106,0.8257699000,1.973738
184,-87.3085013438,27.1598320007,0.0500000000,57,57,74,0.8250373000,1.638357
185,-106.1372843181,26.4724807739,0.0500000000,75,75,94,0.8241067000,1.564892
186,-90.2839245297,27.5791664124,0.0500000000,80,80,112,0.8229979000,1.636100
187,-138.4492630576,27.0728187561,0.0500000000,82,82,105,0.8219584000,1.774899
188,-128.9518269176,27.1119194031,0.0500000000,75,75,93,0.8210377000,1.820779
189,-22.2539602347,26.9826660156,0.0500000000,120,120,149,0.8195626000,1.833248
190,-105.4291078847,26.8770999908,0.0500000000,61,61,75,0.8188201000,1.361761
191,-107.0016194580,26.5529022217,0.0500000000,78,78,94,0.8178895000,1.471876
192,-90.2105543322,27.4538974762,0.0500000000,89,89,111,0.8167906000,1.780228
193,-59.5746600262,27.3708915710,0.0500000000,77,77,89,0.8159095000,1.653543
194,-121.8741667533,26.8356285095,0.0500000000,102,102,129,0.8146324000,1.655400
195,-82.3337449281,27.2670192719,0.0500000000,88,88,116,0.8134840000,1.572435
196,-105.6307020525,26.5507698059,0.0500000000,51,51,65,0.8128405000,1.487846
197,-100.0796603056,25.9316978455,0.0500000000,86,86,112,0.8117317000,1.613053
198,-243.2132992071,26.6750373840,0.0500000000,79,79,95,0.8107912000,1.649063
199,-67.3657992036,27.0367050171,0.0500000000,69,69,87,0.8099299000,1.890146
200,-112.9671177024,26.5541877747,0.0500000000,83,83,103,0.8089102000,1.764121
201,-117.2278645153,26.0904026031,0.0500000000,74,74,111,0.8078113000,1.965949
202,-99.8972201157,26.1746177673,0.0500000000,88,88,109,0.8067322000,1.608318
203,-80.6500698965,26.3036308289,0.0500000000,62,62,76,0.8059798000,1.439143
204,-86.4397022143,26.6182060242,0.0500000000,61,61,77,0.8052175000,1.302299
205,-129.3935204120,26.2892093658,0.0500000000,89,89,106,0.8041681000,1.368889
206,-42.5396559471,26.4477176666,0.0500000000,53,53,69,0.8034850000,1.671000
207,-68.6074323401,26.1873207092,0.0500000000,62,62,79,0.8027029000,1.401159
208,-48.2613031587,26.2815246582,0.0500000000,65,65,78,0.8019307000,1.657288
209,-63.7586805194,26.2474021912,0.0500000000,50,50,63,0.8013070000,1.516010
210,-60.1877979229,26.3024101257,0.0500000000,92,92,118,0.8001388000,1.479153
211,-53.2018073891,26.6136264801,0.0500000000,81,81,98,0.7991686000,1.931113
212,-55.4275650709,26.8301639557,0.0400000000,46,46,64,0.7985350000,1.668519
213,-107.5735681109,26.3829822540,0.0400000000,71,71,94,0.7976044000,1.464684
214,-105.6618159573,26.7197532654,0.0400000000,66,66,87,0.7967431000,1.659493
215,-36.7477133112,26.7742061615,0.0500000000,56,56,72,0.7960303000,1.719652
216,-46.7555049311,26.5495605469,0.0500000000,80,80,102,0.7950205000,1.523213
217,-142.1149565335,27.2148685455,0.0500000000,81,81,101,0.7940206000,1.818099
218,-80.4012142293,26.5698776245,0.0500000000,78,78,101,0.7930207000,1.528571
219,-99.0215091596,27.7675685883,0.0500000000,81,81,97,0.7920604000,1.644388
220,-122.0616581596,26.2090454102,0.0500000000,70,70,94,0.7911298000,1.672793
221,-62.6867121358,26.5018539429,0.0500000000,68,68,90,0.7902388000,1.575978
222,-68.4076696031,26.8863525391,0.0500000000,54,54,65,0.7895953000,1.603405
223,-53.5369078971,26.8053779602,0.0500000000,54,54,66,0.7889419000,1.638188
224,-112.8114093985,26.5365295410,0.0500000000,75,75,91,0.7880410000,1.470540
225,-81.3286955299,25.1226577759,0.0500000000,83,83,104,0.7870114000,1.600476
226,-74.5901007986,26.2396316528,0.0400000000,50,50,65,0.7863679000,1.469472
227,-70.6959717774,25.8274517059,0.0400000000,70,70,86,0.7855165000,1.570140
228,-19.1129596401,25.8815593719,0.0500000000,93,93,119,0.7843384000,1.594381
229,-52.2465351127,26.4752998352,0.0600000000,79,79,97,0.7833781000,1.633891
230,-140.8504706542,26.4094123840,0.0500000000,70,70,101,0.7823782000,1.589230
231,-78.4415638519,25.4890098572,0.0500000000,57,57,68,0.7817050000,1.695189
232,-75.2614050358,25.1237068176,0.0500000000,65,65,78,0.7809328000,1.739530
233,-58.0748009891,25.3943748474,0.0500000000,72,72,91,0.7800319000,1.908603
234,-96.9640089415,25.4594726562,0.0400000000,51,51,68,0.7793587000,1.421748
235,-119.8824867851,25.3986740112,0.0400000000,75,75,93,0.7784380000,1.367479
236,-72.5242962432,25.3615760803,0.0400000000,78,78,95,0.7774975000,1.617569
237,-79.8762016353,25.0114326477,0.0400000000,60,60,79,0.7767154000,1.515743
238,-103.1553448482,24.8016166687,0.0400000000,68,68,90,0.7758244000,1.565967
239,-174.3684888619,25.0476760864,0.0400000000,110,110,131,0.7745275000,1.745135
240,-83.5133260348,24.6772155762,0.0400000000,88,88,106,0.7734781000,1.512653
241,-85.0692637560,24.5906982422,0.0400000000,49,49,63,0.7728544000,1.448766
242,-113.2130717760,24.7567253113,0.0400000000,75,75,91,0.7719535000,1.718916
243,-61.3499999429,24.7770938873,0.0400000000,77,77,97,0.7709932000,1.691580
244,-102.8136981016,24.6977386475,0.0400000000,93,93,112,0.7698844000,1.699395
245,-49.6696439454,24.7464904785,0.0500000000,57,57,74,0.7691518000,1.664775
246,-170.9977924636,24.8274650574,0.0500000000,60,60,77,0.7683895000,1.416763
247,-78.1111654733,24.5006332397,0.0500000000,51,51,60,0.7677955000,1.671559
248,-97.8568871270,24.6178340912,0.0500000000,73,73,95,0.7668550000,1.820242
249,-163.8814902422,24.0267448425,0.0500000000,71,71,94,0.7659244000,1.586567
250,-62.8899020251,24.4355525970,0.0600000000,81,81,103,0.7649047000,1.501691
251,-77.9776130867,25.0204505920,0.0600000000,72,72,84,0.7640731000,1.897511
252,-109.8828165961,24.1029930115,0.0600000000,60,60,84,0.7632415000,1.469516
253,-59.0166244029,24.2491149902,0.0600000000,49,49,58,0.7626673000,1.446086
254,-20.9479994217,23.9737148285,0.0600000000,107,107,128,0.7614001000,1.804672
255,-83.3586651110,23.9064903259,0.0600000000,93,93,114,0.7602715000,1.786525
256,-32.8696188667,24.1940422058,0.0700000000,99,99,126,0.7590241000,1.809394
257,-162.5497334258,24.2221755981,0.0700000000,83,83,107,0.7579648000,1.610611
258,-100.3510886564,23.7564086914,0.0700000000,67,67,85,0.7571233000,1.629845
259,-66.2380281596,24.0324020386,0.0700000000,78,78,95,0.7561828000,1.776336
260,-82.4534500273,23.5841140747,0.0700000000,69,69,93,0.7552621000,1.506323
261,-64.7825089273,23.6856746674,0.0700000000,53,53,69,0.7545790000,1.383717
262,-46.3131824054,23.7174854279,0.0700000000,76,76,95,0.7536385000,1.513800
263,-40.7439611691,23.7074565887,0.0700000000,56,56,68,0.7529653000,1.520614
264,-111.6571931665,23.5796966553,0.0700000000,92,92,111,0.7518664000,1.705278
265,-90.6058604194,23.4621353149,0.0700000000,109,109,132,0.7505596000,1.613424
266,-76.0804253159,23.0200939178,0.0700000000,103,103,123,0.7493419000,1.514840
267,-99.7607431589,22.8380126953,0.0700000000,81,81,99,0.7483618000,1.698353
268,-36.7979917098,23.4783172607,0.0800000000,50,50,62,0.7477480000,1.926447
269,-115.3013584429,22.3427124023,0.0800000000,71,71,87,0.7468867000,1.682132
270,-205.8051101606,22.6173782349,0.0800000000,95,95,126,0.7456393000,1.358899
271,-75.9493925048,22.9399719238,0.0900000000,72,72,94,0.7447087000,1.550614
272,-44.3843012741,22.3474159241,0.1000000000,68,68,86,0.7438573000,1.583684
273,-49.8704697802,22.6313781738,0.1000000000,82,82,98,0.7428871000,1.378509
274,-79.9863771743,22.4248619080,0.0900000000,67,67,88,0.7420159000,1.840617
275,-85.3848650511,22.4936676025,0.0900000000,75,75,92,0.7411051000,1.769359
276,-50.4976583730,22.2002067566,0.0900000000,63,63,79,0.7403230000,1.159865
277,-26.1633331910,21.9575004578,0.1000000000,91,91,113,0.7392043000,1.496208
278,-87.2887507859,22.5201950073,0.1000000000,60,60,79,0.7384222000,1.763550
279,-116.3148101578,21.7171936035,0.1000000000,95,95,114,0.7372936000,1.702121
280,-50.0132423659,21.6829109192,0.1000000000,57,57,75,0.7365511000,1.669839
281,-77.8142611408,21.7198619843,0.1000000000,67,67,82,0.7357393000,1.885429
282,-240.7281389362,21.6940612793,0.1000000000,73,73,89,0.7348582000,1.551954
283,-125.4609066926,22.1370086670,0.1000000000,87,87,108,0.7337890000,1.378341
284,-44.1511190459,21.0665512085,0.1000000000,99,99,130,0.7325020000,1.753301
285,-89.3342390835,21.5267562866,0.1000000000,77,77,92,0.7315912000,1.560487
286,-81.9496987815,21.5842723846,0.1000000000,78,78,94,0.7306606000,1.980043
287,-33.5577961776,21.7523460388,0.1000000000,98,98,121,0.7294627000,1.645130
288,-82.5123471370,21.7041606903,0.1000000000,69,69,84,0.7286311000,1.686377
289,-105.2154749615,21.9372539520,0.1000000000,63,63,84,0.7277995000,1.840046
290,-40.9902750818,20.3298110962,0.1000000000,80,80,98,0.7268293000,1.785865
291,-19.1405962690,20.9561157227,0.1100000000,102,102,125,0.7255918000,1.576077
292,-222.8813411277,20.3268833160,0.1100000000,118,118,143,0.7241761000,1.512681
293,-64.7175971529,20.6176490784,0.1100000000,86,86,102,0.7231663000,1.608906
294,-108.1181764331,20.7591476440,0.1100000000,72,72,97,0.7222060000,1.628580
295,-134.6889437619,20.5905876160,0.1100000000,75,75,102,0.7211962000,1.738389
296,-64.5351990751,20.4893417358,0.1100000000,75,75,106,0.7201468000,1.780805
297,-124.5864828060,20.1639842987,0.1100000000,66,66,77,0.7193845000,1.993632
298,-281.7319235685,20.9892005920,0.1100000000,88,88,105,0.7183450000,1.648067
299,-80.7119213645,19.9264602661,0.1100000000,75,75,82,0.7175332000,2.074172
300,-35.2722113028,19.4258842468,0.1200000000,96,96,125,0.7162957000,1.417082
301,-32.8200749481,20.1685752869,0.1200000000,101,101,121,0.7150978000,2.076162
302,-55.2212727185,20.1784019470,0.1200000000,63,63,77,0.7143355000,1.831566
303,-50.4830705631,20.0553474426,0.1300000000,84,84,108,0.7132663000,1.952185
304,-49.0031210397,19.4474983215,0.1300000000,44,44,61,0.7126624000,2.066209
305,-143.2881920367,19.0989952087,0.1300000000,94,94,119,0.7114843000,1.735314
306,-68.8654078434,19.1431159973,0.1300000000,78,78,89,0.7106032000,1.659685
