episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
170,-125.7479960065,9.1513977051,0.0300000000,64,50,90,0.8489161000,1.907880
171,-145.9019405071,9.2874803543,0.0300000000,74,64,99,0.8479360000,1.961952
172,-85.8609795361,8.8207693100,0.0200000000,49,43,65,0.8472925000,1.677778
173,-31.9054125096,9.3665494919,0.0300000000,48,41,68,0.8466193000,1.619263
174,-111.7248222085,9.3638362885,0.0300000000,64,60,84,0.8457877000,1.880220
175,-148.1363805688,8.9417991638,0.0300000000,83,75,106,0.8447383000,1.697668
176,-137.1729651416,9.4615840912,0.0300000000,65,59,83,0.8439166000,1.531075
177,-116.4733116969,9.4377841949,0.0300000000,64,58,89,0.8430355000,1.486618
178,-110.0236142793,9.3239231110,0.0300000000,55,45,69,0.8423524000,1.354746
179,-122.0965460641,9.5650997162,0.0300000000,69,51,93,0.8414317000,1.695863
180,-11.2169582054,9.7099857330,0.0300000000,80,65,106,0.8403823000,1.592606
181,-154.6131175349,8.9668769836,0.0300000000,61,54,82,0.8395705000,2.032694
182,-156.9836932471,8.8910369873,0.0300000000,86,73,107,0.8385112000,1.768439
183,-152.0080059126,9.3215351105,0.0300000000,64,56,86,0.8376598000,1.517448
184,-93.2438932469,9.1405897141,0.0300000000,56,46,77,0.8368975000,1.173172
185,-159.4179510387,9.3089542389,0.0300000000,64,55,77,0.8361352000,1.889340
186,-120.7124648403,9.6644773483,0.0300000000,80,72,111,0.8350363000,1.745212
187,-146.7590389747,9.2516031265,0.0300000000,83,71,99,0.8340562000,1.534703
188,-101.4579584782,9.2747583389,0.0300000000,79,63,102,0.8330464000,1.859385
189,-159.1103376276,9.1048622131,0.0300000000,68,67,96,0.8320960000,1.473881
190,-111.2102187786,9.0660705566,0.0300000000,53,46,76,0.8313436000,1.586508
191,-111.1755429635,9.2151060104,0.0300000000,61,57,80,0.8305516000,1.963924
192,-119.7142304963,9.1646728516,0.0300000000,94,82,116,0.8294032000,1.499935
193,-90.3446334154,9.1787853241,0.0300000000,58,48,75,0.8286607000,1.548728
194,-103.5465846096,9.0974254608,0.0300000000,83,71,108,0.8275915000,1.358421
195,-128.3179886589,9.3654861450,0.0300000000,67,56,92,0.8266807000,1.922253
196,-73.1366845606,8.8785247803,0.0300000000,57,49,72,0.8259679000,1.826622
197,-149.4543717870,9.0090579987,0.0300000000,69,62,88,0.8250967000,2.183778
198,-58.6571998041,9.2364139557,0.0400000000,63,53,81,0.8242948000,1.589156
199,-80.1184818890,8.5004491806,0.0400000000,46,36,67,0.8236315000,1.555174
200,-165.4998739765,8.5486564636,0.0400000000,81,65,106,0.8225821000,1.583445
201,-97.2760272901,9.1601600647,0.0400000000,87,79,115,0.8214436000,1.769124
202,-114.5182823978,8.8080434799,0.0400000000,95,74,110,0.8203546000,1.617505
203,-176.6982422593,9.1067733765,0.0400000000,47,37,62,0.8197408000,2.073084
204,-137.6149903777,9.2065277100,0.0400000000,70,64,85,0.8188993000,1.502258
205,-163.0492657285,9.1101598740,0.0400000000,93,79,115,0.8177608000,1.594409
206,-88.0545716711,8.5520620346,0.0400000000,52,43,63,0.8171371000,1.775252
207,-115.8199190427,8.5764360428,0.0400000000,74,64,90,0.8162461000,2.004647
208,-127.7995664492,8.1266860962,0.0400000000,66,56,78,0.8154739000,1.382540
209,-67.9510444947,8.3688735962,0.0400000000,50,40,66,0.8148205000,1.730040
210,-165.8939710023,8.6491432190,0.0400000000,89,78,119,0.8136424000,1.627494
211,-186.2224285497,8.7205047607,0.0400000000,60,52,81,0.8128405000,1.465239
212,-72.3415676392,8.2699804306,0.0400000000,52,47,67,0.8121772000,1.839680
213,-130.0324323949,8.1765537262,0.0400000000,80,72,104,0.8111476000,1.542305
214,-94.0673849367,8.4326410294,0.0400000000,85,74,104,0.8101180000,1.500368
215,-102.1808195746,8.4783334732,0.0400000000,53,46,66,0.8094646000,1.417212
216,-111.1487487676,8.5557489395,0.0400000000,55,48,69,0.8087815000,2.249330
217,-139.7358885851,8.1992483139,0.0400000000,58,49,95,0.8078410000,1.811956
218,-159.6000111960,8.0672693253,0.0300000000,84,73,105,0.8068015000,2.146051
219,-148.4968254616,7.7417268753,0.0300000000,67,56,93,0.8058808000,1.868340
220,-114.0694038086,7.7653956413,0.0300000000,66,50,86,0.8050294000,2.381290
221,-143.2616864014,8.1653032303,0.0300000000,71,56,86,0.8041780000,2.022571
222,-92.6462009836,7.4191226959,0.0300000000,47,39,66,0.8035246000,2.189210
223,-88.5583300242,8.0458250046,0.0300000000,49,42,61,0.8029207000,1.868906
224,-188.1996035797,8.1879329681,0.0300000000,66,53,85,0.8020792000,1.522647
225,-38.8069475276,6.9781327248,0.0400000000,67,60,86,0.8012278000,2.334329
226,-68.7078501296,6.5715756416,0.0400000000,52,43,66,0.8005744000,1.842790
227,-116.8938293625,6.7949819565,0.0400000000,53,44,67,0.7999111000,2.205243
228,-14.3088958087,7.1107616425,0.0500000000,82,70,115,0.7987726000,1.685510
229,-162.9419385990,6.8277535439,0.0500000000,66,57,96,0.7978222000,1.620507
