episode,total_reward,average_q,safe_rate_100,attempted,executed,steps,epsilon,training_loss
102,-67.1189609421,15.1355781555,0.0300000000,92,92,111,0.9028018000,1.797954
103,-157.1863899991,14.9119157791,0.0300000000,85,85,104,0.9017722000,1.535515
104,-43.6205205335,14.5629892349,0.0300000000,52,52,69,0.9010891000,1.657230
105,-194.5191207054,15.3712024689,0.0300000000,91,91,115,0.8999506000,1.561399
106,-176.3198806237,15.7972326279,0.0300000000,98,98,118,0.8987824000,1.472515
107,-103.4371454595,15.4910888672,0.0300000000,51,51,61,0.8981785000,1.533862
108,-57.7276061790,15.3866004944,0.0300000000,87,87,100,0.8971885000,1.625300
109,-308.2056243990,15.7537298203,0.0300000000,92,92,115,0.8960500000,1.445679
110,-324.3566968576,16.6102828979,0.0300000000,79,79,96,0.8950996000,1.843895
111,24.9168609433,16.9378929138,0.0200000000,56,56,72,0.8943868000,1.461619
112,-72.4869306360,16.9698448181,0.0200000000,83,83,112,0.8932780000,1.531529
113,13.3582965351,16.6468296051,0.0200000000,77,77,99,0.8922979000,1.557509
114,-66.0125702357,17.8349666595,0.0200000000,130,130,156,0.8907535000,1.766659
115,-404.9837126411,17.8927116394,0.0200000000,96,96,115,0.8896150000,1.536547
116,-52.1130703339,18.2477741241,0.0300000000,93,93,127,0.8883577000,1.633969
117,-81.1960950875,17.7750377655,0.0300000000,82,82,102,0.8873479000,1.653379
118,-37.3110298973,17.7232131958,0.0300000000,55,55,71,0.8866450000,1.771166
119,-137.3146155134,18.5302104950,0.0200000000,66,66,85,0.8858035000,1.614253
120,-126.7656811686,18.6919784546,0.0200000000,78,78,106,0.8847541000,1.401425
121,-46.2571339683,18.4855880737,0.0200000000,56,56,65,0.8841106000,1.445665
122,-27.0244944797,18.1637191772,0.0200000000,108,108,140,0.8827246000,1.784458
123,-90.1630578876,18.5338363647,0.0200000000,52,52,69,0.8820415000,1.558937
124,-92.7190830545,18.7412300110,0.0200000000,51,51,67,0.8813782000,1.737782
125,-86.1822180453,19.5616130829,0.0200000000,81,81,95,0.8804377000,1.734063
126,-99.0187504171,19.4600334167,0.0200000000,95,95,129,0.8791606000,1.630488
127,-69.6918657746,19.7302131653,0.0200000000,121,121,142,0.8777548000,1.599967
128,-76.9557260370,19.3991203308,0.0200000000,74,74,101,0.8767549000,1.553383
129,-81.7318703989,20.3663387299,0.0200000000,101,101,129,0.8754778000,1.790738
130,-96.6593890814,20.1571121216,0.0300000000,71,71,89,0.8745967000,1.744820
131,-95.8576862219,20.3460922241,0.0300000000,66,66,87,0.8737354000,1.453757
132,-73.0961678940,20.1486663818,0.0300000000,75,75,91,0.8728345000,1.656667
133,-164.3192047524,19.9567070007,0.0300000000,63,63,85,0.8719930000,1.541116
134,-101.5008980725,20.2448959351,0.0300000000,69,69,90,0.8711020000,1.603781
135,-152.8401685162,20.2490081787,0.0300000000,82,82,106,0.8700526000,1.791160
136,-113.9113263696,20.2496681213,0.0300000000,57,57,72,0.8693398000,1.600377
137,-226.5851119963,20.5323295593,0.0300000000,82,82,106,0.8682904000,1.199955
138,-164.7201154326,20.2889728546,0.0300000000,94,94,130,0.8670034000,1.681583
139,-75.9053781355,21.1205368042,0.0300000000,59,59,73,0.8662807000,1.615417
140,-56.9767737806,20.9957580566,0.0300000000,92,92,121,0.8650828000,1.542354
141,-86.8546905898,20.8825492859,0.0300000000,62,62,82,0.8642710000,1.500009
142,-165.5110185583,20.8003425598,0.0300000000,108,108,140,0.8628850000,1.421913
143,-113.1271199450,21.1067829132,0.0300000000,68,68,89,0.8620039000,1.668391
144,-99.9721644900,21.3111038208,0.0300000000,58,58,72,0.8612911000,1.823670
145,-73.0698096620,22.0013484955,0.0300000000,94,94,116,0.8601427000,1.417464
146,-75.8350848941,21.8679866791,0.0300000000,67,67,98,0.8591725000,1.449709
147,-313.5900097247,22.1209697723,0.0300000000,64,64,79,0.8583904000,1.605624
148,-64.7974441935,21.9079627991,0.0300000000,87,87,120,0.8572024000,2.028254
149,-96.1666218306,21.7224445343,0.0300000000,49,49,70,0.8565094000,1.528067
150,-62.3631177392,22.4197502136,0.0300000000,59,59,68,0.8558362000,1.169085
151,-95.4787937170,22.2589378357,0.0300000000,71,71,89,0.8549551000,1.404538
152,-24.2558733043,22.3542976379,0.0300000000,66,66,87,0.8540938000,1.536002
153,-12.3975104497,22.4920654297,0.0300000000,106,106,139,0.8527177000,1.558118
154,-175.1320790480,22.3292083740,0.0300000000,67,67,87,0.8518564000,1.534283
155,50.7186232506,23.2256050110,0.0300000000,68,68,83,0.8510347000,1.629656
156,-264.9780688545,22.9228916168,0.0300000000,75,75,93,0.8501140000,1.780934
157,-55.4034290042,23.0108242035,0.0300000000,58,58,70,0.8494210000,1.368846
158,-42.4026068009,22.4261817932,0.0300000000,47,47,65,0.8487775000,1.524035
159,-78.3152937810,23.0126132965,0.0300000000,57,57,72,0.8480647000,1.214622
160,-63.1823033895,22.2352466583,0.0300000000,50,50,64,0.8474311000,1.381111
161,-76.9965261430,22.7637271881,0.0300000000,57,57,77,0.8466688000,1.485037
162,-98.1079901611,22.6702785492,0.0300000000,78,78,101,0.8456689000,1.707239
163,-111.2994688138,23.0333824158,0.0300000000,65,65,82,0.8448571000,1.611874
164,-99.0480556357,22.7046089172,0.0300000000,52,52,65,0.8442136000,1.507015
165,-117.0327356094,22.9430999756,0.0300000000,59,59,81,0.8434117000,1.931908
166,-85.4240849927,22.8412094116,0.0300000000,84,84,115,0.8422732000,1.333633
167,-84.3145677146,23.3930759430,0.0400000000,81,81,106,0.8412238000,1.840733
168,-171.7218419735,23.7390480042,0.0400000000,55,55,71,0.8405209000,1.533223
169,-80.4080817389,23.2790031433,0.0400000000,94,94,124,0.8392933000,1.667692
170,-80.0329504202,23.2271881104,0.0400000000,80,80,97,0.8383330000,1.626951
171,-127.4926742217,22.7997589111,0.0400000000,85,85,106,0.8372836000,1.520922
172,-91.7302201229,22.9932746887,0.0400000000,55,55,68,0.8366104000,1.379708
173,-94.0856033177,23.1725559235,0.0400000000,53,53,65,0.8359669000,1.793131
174,-87.9286349940,22.9439430237,0.0400000000,59,59,81,0.8351650000,1.329110
175,-103.0286365045,22.7255992889,0.0400000000,85,85,105,0.8341255000,2.096388
176,-60.1710073700,23.4464340210,0.0400000000,92,92,112,0.8330167000,1.330064
177,-101.9375034163,23.1757698059,0.0400000000,72,72,95,0.8320762000,1.361179
178,-114.3362214123,23.1737499237,0.0400000000,48,48,70,0.8313832000,1.915216
179,-38.7356255265,23.6196308136,0.0400000000,99,99,124,0.8301556000,1.448774
180,-220.5095215656,23.6207790375,0.0400000000,85,85,104,0.8291260000,1.347604
181,-100.5026208862,22.9118099213,0.0400000000,59,59,78,0.8283538000,1.630677
182,-240.5730757338,23.6579074860,0.0400000000,85,85,108,0.8272846000,1.944989
183,-59.3807212192,23.4865760803,0.0400000000,86,86,115,0.8261461000,1.889959
184,-83.0062303854,23.2050056458,0.0400000000,68,68,80,0.8253541000,1.609631
185,-67.4391836490,23.2184219360,0.0400000000,69,69,88,0.8244829000,1.627768
186,-68.5994749595,23.2569274902,0.0400000000,85,85,113,0.8233642000,1.229601
187,-341.2965496037,23.1627235413,0.0400000000,79,79,99,0.8223841000,1.588216
188,-57.4075152964,23.9363784790,0.0400000000,79,79,104,0.8213545000,1.921886
189,-118.8597650372,23.3245773315,0.0400000000,112,112,132,0.8200477000,1.794255
190,-86.3277859364,23.2513465881,0.0400000000,60,60,73,0.8193250000,1.838684
191,-139.6258667010,23.1074104309,0.0400000000,66,66,85,0.8184835000,1.642867
192,-136.2822440366,23.3101959229,0.0400000000,98,98,117,0.8173252000,1.587177
193,-77.8824099641,23.4971847534,0.0400000000,63,63,77,0.8165629000,1.877965
194,-109.5802557690,23.4983024597,0.0400000000,110,110,134,0.8152363000,1.514314
195,-82.7423647873,23.3479003906,0.0400000000,84,84,112,0.8141275000,1.677510
196,-68.8843124771,23.5189552307,0.0400000000,53,53,70,0.8134345000,1.638373
197,-87.7992532741,23.5659866333,0.0300000000,68,68,88,0.8125633000,1.703030
198,-55.5566793191,22.4326667786,0.0300000000,92,92,108,0.8114941000,1.688982
199,-90.5934738579,23.2644309998,0.0300000000,57,57,71,0.8107912000,1.817013
200,-128.5396817075,22.8463115692,0.0300000000,104,104,131,0.8094943000,1.963644
201,-74.9845857887,22.7479438782,0.0300000000,88,88,120,0.8083063000,1.608513
202,-88.6132872403,22.6606388092,0.0300000000,66,66,89,0.8074252000,1.615185
203,-89.7321819374,22.3994560242,0.0300000000,63,63,79,0.8066431000,1.945853
204,-94.1274876508,22.6766433716,0.0300000000,69,69,87,0.8057818000,1.464193
205,-97.3258033539,22.8983078003,0.0300000000,100,100,121,0.8045839000,1.530377
206,-40.2249186729,22.4350452423,0.0300000000,55,55,65,0.8039404000,1.459274
207,-96.7904578853,22.5805759430,0.0300000000,75,75,97,0.8029801000,1.827271
208,-114.2368712400,22.9839439392,0.0300000000,65,65,78,0.8022079000,1.905567
209,-62.9584290408,22.5270957947,0.0300000000,48,48,66,0.8015545000,1.530909
210,-108.0970421990,22.4656600952,0.0300000000,91,91,113,0.8004358000,1.350212
211,-54.2810385378,22.2337150574,0.0300000000,77,77,95,0.7994953000,1.466489
212,-59.1890148510,22.4873847961,0.0300000000,59,59,68,0.7988221000,1.937802
213,-93.7787144889,22.2427539825,0.0300000000,73,73,102,0.7978123000,1.360372
214,-123.4403534650,22.0546245575,0.0300000000,68,68,89,0.7969312000,1.419657
215,-60.2986517433,22.2376441956,0.0300000000,56,56,70,0.7962382000,2.418931
216,-55.2428741625,21.6283111572,0.0200000000,66,66,85,0.7953967000,1.573498
217,-88.8509869753,22.3565368652,0.0200000000,82,82,104,0.7943671000,1.711153
218,-85.4574844758,22.4354248047,0.0200000000,70,70,92,0.7934563000,1.418986
219,-102.7894314805,21.7828483582,0.0200000000,69,69,87,0.7925950000,1.606614
220,-76.4257502302,21.8909435272,0.0200000000,71,71,90,0.7917040000,1.648639
221,-130.5125042073,22.2216567993,0.0200000000,66,66,84,0.7908724000,1.918015
222,-38.4965917992,22.5473537445,0.0200000000,50,50,68,0.7901992000,1.825389
223,-92.9793840431,22.2715606689,0.0200000000,51,51,61,0.7895953000,1.463219
224,-85.4699082276,21.9931411743,0.0200000000,92,92,111,0.7884964000,1.358225
225,-87.4319867201,22.3051452637,0.0200000000,92,92,114,0.7873678000,1.574465
