experiment,algorithm,environment_type,evaluation_episode,reward,successful_safe_landing,attempted_thruster_activations,executed_thruster_activations,episode_steps,random_seed,episode_seed
dqn_modified,DQN,Modified,72,-259.1661052038982,0,707,591,1000,148,100219
dqn_modified,DQN,Modified,73,-203.23269039892628,0,714,605,1000,148,100220
dqn_modified,DQN,Modified,74,-141.50031876006162,0,863,723,1000,148,100221
dqn_modified,DQN,Modified,75,-251.478381976737,0,747,624,1000,148,100222
dqn_modified,DQN,Modified,76,197.0628058598382,1,208,173,357,148,100223
dqn_modified,DQN,Modified,77,165.58573656126634,0,255,217,529,148,100224
dqn_modified,DQN,Modified,78,59.67087981617911,0,505,421,713,148,100225
dqn_modified,DQN,Modified,79,-232.70421171272818,0,712,592,1000,148,100226
dqn_modified,DQN,Modified,80,235.70660363444756,1,201,174,322,148,100227
dqn_modified,DQN,Modified,81,-30.531140398863954,0,201,173,273,148,100228
dqn_modified,DQN,Modified,82,-25.058581457752425,0,542,460,786,148,100229
dqn_modified,DQN,Modified,83,183.28246378986853,0,212,187,479,148,100230
dqn_modified,DQN,Modified,84,168.51554574433428,0,233,207,404,148,100231
dqn_modified,DQN,Modified,85,-240.53528098843174,0,718,596,1000,148,100232
dqn_modified,DQN,Modified,86,215.55897319809023,1,222,182,347,148,100233
dqn_modified,DQN,Modified,87,258.77340952671904,1,170,154,320,148,100234
dqn_modified,DQN,Modified,88,146.9850859413629,1,401,337,593,148,100235
dqn_modified,DQN,Modified,89,-235.7192022109893,0,846,711,1000,148,100236
dqn_modified,DQN,Modified,90,175.9432289568492,1,271,228,431,148,100237
dqn_modified,DQN,Modified,91,-204.66296697759805,0,693,600,1000,148,100238
dqn_modified,DQN,Modified,92,-199.32805216637848,0,705,600,1000,148,100239
dqn_modified,DQN,Modified,93,-219.42217999220722,0,728,617,1000,148,100240
dqn_modified,DQN,Modified,94,112.33136558118917,0,388,335,535,148,100241
dqn_modified,DQN,Modified,95,10.644119476471602,0,484,422,736,148,100242
dqn_modified,DQN,Modified,96,-184.78507494021073,0,716,594,1000,148,100243
dqn_modified,DQN,Modified,97,248.59270288701632,1,200,166,317,148,100244
dqn_modified,DQN,Modified,98,112.2337191746424,0,296,249,495,148,100245
dqn_modified,DQN,Modified,99,291.6418056592831,1,186,158,322,148,100246
dqn_modified,DQN,Modified,100,-9.8138556437911,1,648,540,891,148,100247
ddqn_modified,DDQN,Modified,1,-223.86139117443966,0,756,645,1000,148,100148
ddqn_modified,DDQN,Modified,2,-251.99815784153773,0,737,632,1000,148,100149
ddqn_modified,DDQN,Modified,3,-246.42460763106524,0,762,645,1000,148,100150
ddqn_modified,DDQN,Modified,4,-270.63639321025755,0,800,675,1000,148,100151
ddqn_modified,DDQN,Modified,5,-230.33464584951605,0,783,662,1000,148,100152
